HID,市区町村,Type,施設名,所在地,電話番号,定員,x,y,sourceNo,uncertain,URL,"URL
（区のHP掲載外）",基本保育時間,延長保育時間,定員,受入年齢,延床面積,園庭面積,常勤職員数,備考
1014001,中野区,認可保育所,マミーズエンジェル新中野保育園,中野区本町四丁目３０番１２,--,75,139.671,35.6972,10,1,http://www.mammys-angel.co.jp/branch/h20091102212253913.html,,午前7時15分から午後6時15分,午後8時15分まで,75,1歳以上就学前まで,,,,
1014002,中野区,認可保育所,田中ナースリー若宮保育園,中野区若宮三丁目６番９,--,60,139.6456,35.7205,10,1,http://www.tanaka-nursery.com/ninka/,,午前7時15分から午後6時15分,午後8時15分まで,60,1歳以上就学前まで,,,,
1014003,中野区,認可保育所,丸山保育園,中野区丸山２－２７－１６,03-3337-7106,93,139.6498,35.7258,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002491.html,,午前7時15分から午後6時15分,午後7時15分まで,96,6か月以上就学前まで,513平方メートル,462平方メートル,園長1人、保育士19人、看護師1人、調理員4人、用務員1人、栄養士（巡回）。,
1014004,中野区,認可保育所,江原保育園,中野区江原町１－１０－１６,03-3953-5528,109,139.6752,35.7291,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002489.html,,午前7時15分から午後6時15分,午後7時15分まで,117,57日以上就学前まで,764平方メートル,747平方メートル,園長1人、保育士22人、看護師1人、栄養士1人。調理・用務は業務委託しています。（平成22年4月現在、変更となる場合があります。）,
1014005,中野区,認可保育所,徳田保育園,中野区江古田３－１５－２,03-3993-5029,123,139.6644,35.7276,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002498.html,http://www.kosodate-web.com/tokuden/,午前7時15分から午後6時15分,午後7時15分まで,123,57日以上就学前まで,"1,158,09平方メートル","442,00 平方メートル",園長1人、保育士19人、看護師1人、栄養士2人、調理員2人、事務員1人、用務員1名（平成24年4月現在、変更となる場合があります。）,
1014006,中野区,認可保育所,なかよしの森保育園,中野区江古田４－１６－１３,03-5942-8816,100,139.6632,35.7259,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d012403.html,http://sinyukai.com/nakayosi/,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,943.72平方メートル,241.25平方メートル,園長1人、保育士21人、看護師1人、栄養士1人、事務員1人、調理は業務委託しています。 （平成24年4月現在、変更となる場合があります）,
1014007,中野区,認可保育所,西鷺宮保育園,中野区鷺宮５－２２－１４,03-3990-7440,100,139.6327,35.7264,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002496.html,http://www.seishinfukushikai.or.jp/nishisaginomiya/,午前7時15分から午後6時15分,午後8時15分まで,100,57日以上就学前まで,584平方メートル,237平方メートル,園長1人、保育士21人、看護師2人、調理員4人、事務員1人、用務員1人（平成24年4月現在、変更となる場合があります。）,
1014008,中野区,認可保育所,松が丘保育園,中野区松が丘２－３２－３,03-3951-6241,80,139.6725,35.7229,8,0,,http://shoutoku-f.xsrv.jp/matsugaoka/,午前7時15分から午後6時15分,午後8時15分まで,107,57日以上就学前まで,,,,
1014009,中野区,認可保育所,沼袋保育園,中野区沼袋１－３４－１４,03-3386-7082,152,139.6653,35.7196,8,0,http://www.city.tokyo-nakano.lg.jp/dept/244000/d002486.html,,午前7時15分から午後6時15分,午後7時15分まで,118,57日以上就学前まで,987平方メートル,288平方メートル,園長1人、保育士24人、看護師1人、栄養士1人。調理・用務は業務委託しています。,
1014010,中野区,認可保育所,沼袋西保育園,中野区沼袋３－１３－２,03-3388-5032,99,139.6599,35.7175,10,1,http://www.city.tokyo-nakano.lg.jp/dept/244000/d016147.html,http://shoutoku-f.xsrv.jp/n-nishi/,午前7時15分から午後6時15分,午後8時15分まで,99,57日以上就学前まで,816.43平方メートル,277.25平方メートル,園長1人、主任 1人、 保育士17人、看護師1人、栄養士3人、事務員1人 （平成24年4月現在、変更となる場合があります）,
